,country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr,continent,spend_class,debt_class,invest/gdp_class
0,Albania,-8.609,26.44,30.758,12173.62,100.0,-4.318,26.237,15.804,2.881,17.1,5.272,0.076,194.969,73.716,2.219,11.389,EU,S2,Very High,20%-30%
1,Algeria,-16.442,30.544,45.811,11616.72,172.653,-15.267,50.781,34.326,39.963,11.214,5.733,-6.048,237.033,8.733,3.7,165.979,AF,S4,5%-20%,>40
2,Argentina,-2.743,35.366,41.366,23933.89,168.0,-6.001,17.071,14.328,43.132,6.533,-1.633,2.644,825.311,52.563,2.731,642.464,SA,S3,40%-60%,0%-20%
3,Armenia,-2.685,21.494,26.331,11074.41,208.046,-4.837,21.204,18.519,2.99,18.5,9.679,-9.819,149.985,44.133,3.254,10.553,AS,S2,40%-60%,20%-30%
4,Australia,-4.637,34.599,37.387,48757.65,107.65,-2.788,25.91,21.652,23.985,6.058,6.319,2.259,90.165,37.751,2.31,1233.14,OC,S3,20%-40%,20%-30%
5,Austria,1.725,49.981,51.027,53273.47,121.512,-1.046,23.806,25.531,8.63,6.167,3.049,3.63,100.0,84.401,1.015,382.01,EU,S4,Very High,20%-30%
6,Azerbaijan,-0.438,33.866,38.678,14941.15,192.042,-4.812,27.914,27.348,9.593,4.958,9.253,12.365,183.62,17.98,1.05,50.844,AS,S3,5%-20%,20%-30%
7,Belgium,1.383,51.306,53.72,49795.71,99.999,-2.414,23.628,25.011,11.237,8.675,1.351,1.086,100.0,105.229,2.041,462.383,EU,S4,Very High,20%-30%
8,Bolivia,-5.825,37.686,44.59,8013.7,93.218,-6.904,20.281,14.216,10.83,4.0,-22.575,4.305,535.793,40.905,4.857,33.241,SA,S4,40%-60%,20%-30%
9,Bosnia and Herzegovina,-5.096,43.004,43.201,12391.99,100.0,-0.197,20.737,15.641,3.518,27.7,9.751,1.671,99.989,45.531,3.088,16.21,EU,S4,40%-60%,20%-30%
10,Brazil,-3.044,28.243,38.482,15137.9,28400440595910.2,-10.239,17.412,14.368,203.476,8.625,8.755,-13.531,502.745,72.573,-3.546,1800.05,SA,S3,Very High,0%-20%
11,Bulgaria,3.05,34.544,37.318,20119.25,99.998,-2.774,20.993,20.993,7.154,9.233,6.449,4.698,100.0,25.351,3.428,50.782,EU,S3,20%-40%,20%-30%
12,Cabo Verde,-3.18,26.892,31.448,6170.77,99.401,-4.555,38.553,35.373,0.533,12.4,-6.734,-22.566,113.117,126.649,1.007,1.597,AF,S2,Very High,30%-40%
13,Canada,-3.495,39.957,40.018,47853.97,126.567,-0.062,23.822,20.326,35.678,6.942,3.419,0.751,102.807,91.221,0.659,1556.51,NA,S3,Very High,20%-30%
14,Chile,-2.795,22.941,25.03,23523.15,92.159,-2.089,25.616,22.794,17.971,6.328,-2.359,-0.959,89.81,17.376,2.142,242.494,SA,S1,5%-20%,20%-30%
15,China,2.637,29.009,31.552,12535.04,100.0,-2.544,43.033,45.669,1383.26,4.05,-2.156,-0.438,100.0,41.489,7.018,11113.51,AS,S2,40%-60%,>40
16,Colombia,-6.372,27.757,31.277,14608.56,85.57,-3.52,23.774,17.401,46.314,8.917,1.659,-1.081,100.0,50.419,2.956,293.493,SA,S2,40%-60%,20%-30%
17,Costa Rica,-3.404,13.237,18.716,18593.6,92.97,-5.479,18.854,15.45,4.851,9.604,2.888,4.498,95.353,39.786,3.652,56.442,NA,S1,20%-40%,0%-20%
18,Croatia,3.371,44.62,48.021,24862.58,100.0,-3.4,20.355,23.726,4.204,17.067,10.343,9.379,100.0,83.25,2.526,50.163,EU,S4,Very High,20%-30%
19,Cyprus,-0.448,39.665,39.48,34494.49,99.994,0.186,13.18,13.229,0.847,14.9,8.89,8.062,100.215,107.16,3.382,19.844,AS,S3,Very High,0%-20%
20,Czech Republic,0.449,41.29,41.934,36333.73,99.975,-0.644,27.983,28.432,10.538,5.021,6.032,6.848,100.0,39.695,5.388,188.033,EU,S3,20%-40%,20%-30%
