country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr,continent,spend_class,debt_class,invest/gdp_class
Albania,-7.572,27.642,29.139,12597.3,101.287,-1.498,25.47,16.796,2.876,15.2,10.396,8.3,193.736,73.324,3.315,11.862,EU,S2,Very High,20%-30%
Algeria,-16.542,28.614,41.665,11732.16,183.699,-13.051,50.778,34.221,40.836,10.498,9.612,-1.236,240.704,20.438,3.2,160.034,AF,S4,20%-40%,>40
Argentina,-2.713,34.867,41.522,23189.53,168.27,-6.655,17.663,14.95,43.59,8.467,6.807,3.568,1164.67,53.06,-2.08,556.774,SA,S4,40%-60%,0%-20%
Armenia,-1.013,21.416,27.048,11087.77,205.083,-5.632,18.016,17.002,2.993,18.0,17.745,6.342,150.396,51.929,0.195,10.546,AS,S2,40%-60%,0%-20%
Australia,-3.277,34.941,37.362,49243.0,109.025,-2.422,24.673,20.886,24.39,5.717,6.675,0.144,91.041,40.581,2.701,1263.92,OC,S3,40%-60%,20%-30%
Austria,2.724,48.537,50.071,53647.68,122.693,-1.535,24.256,26.981,8.74,6.475,2.988,3.726,101.848,82.549,1.989,395.728,EU,S4,Very High,20%-30%
Azerbaijan,-3.604,34.255,35.407,14315.38,215.929,-1.152,25.682,22.075,9.706,5.043,2.427,17.165,210.481,20.608,-3.064,37.83,AS,S2,20%-40%,20%-30%
Belgium,0.552,50.755,53.118,50097.35,101.769,-2.363,24.252,24.804,11.311,7.933,3.466,5.507,101.921,105.005,1.267,475.931,EU,S4,Very High,20%-30%
Bolivia,-5.579,32.686,39.929,8233.76,96.596,-7.243,21.057,15.407,10.99,4.0,-15.289,-7.962,528.534,46.49,4.264,34.189,SA,S3,40%-60%,20%-30%
Bosnia and Herzegovina,-4.756,42.309,41.963,12807.28,98.416,0.346,21.802,17.046,3.511,25.4,9.448,7.257,101.393,44.081,3.146,16.91,EU,S4,40%-60%,20%-30%
Brazil,-1.362,30.66,39.639,14522.03,30882511530234.4,-8.979,14.97,13.607,205.157,11.65,4.264,-8.165,543.485,78.286,-3.276,1796.62,SA,S3,Very High,0%-20%
Bulgaria,3.061,34.25,32.711,20882.41,98.676,1.539,18.954,22.014,7.102,7.666,8.617,5.151,103.322,26.995,3.04,53.949,EU,S2,20%-40%,0%-20%
Cabo Verde,-3.828,26.606,29.641,6381.56,97.974,-3.035,36.979,33.151,0.54,15.0,12.378,18.883,112.855,128.365,4.706,1.663,AF,S2,Very High,30%-40%
Canada,-3.088,40.3,40.753,47831.31,128.375,-0.453,22.761,19.673,36.052,7.05,1.407,0.051,103.582,91.757,1.001,1528.0,NA,S3,Very High,20%-30%
Chile,-2.637,22.71,25.371,23677.85,95.651,-2.661,23.75,21.168,18.167,6.685,0.625,1.193,93.899,21.104,1.754,249.266,SA,S1,20%-40%,20%-30%
China,1.704,28.924,32.316,13306.59,102.003,-3.392,42.655,44.359,1392.32,4.02,0.679,4.387,100.876,48.238,6.851,11226.9,AS,S2,40%-60%,>40
Colombia,-4.452,27.72,29.994,14749.11,91.993,-2.274,23.167,18.715,46.83,9.217,-0.209,-3.541,105.148,49.796,2.087,282.72,SA,S2,40%-60%,20%-30%
Costa Rica,-2.137,13.662,18.791,19145.0,92.953,-5.129,18.889,16.752,4.909,9.541,9.417,8.938,97.221,44.056,4.204,58.847,NA,S1,40%-60%,0%-20%
Croatia,2.309,45.886,46.821,25925.79,98.875,-0.935,20.734,23.043,4.174,14.958,7.048,6.479,99.926,79.723,3.532,52.295,EU,S4,Very High,20%-30%
Cyprus,-4.203,37.71,37.466,36664.33,98.778,0.244,17.364,13.236,0.848,12.95,7.052,10.164,99.642,103.065,6.455,20.947,AS,S3,Very High,0%-20%
Czech Republic,1.776,40.463,39.751,37200.66,100.658,0.712,26.024,27.8,10.554,3.946,4.343,2.83,101.141,36.581,2.537,196.272,EU,S3,20%-40%,20%-30%
Denmark,7.774,52.373,52.479,54540.79,100.017,-0.106,21.775,29.549,5.707,6.017,4.111,3.662,105.739,37.193,3.248,313.116,EU,S4,20%-40%,20%-30%
Dominican Republic,-1.075,13.871,16.974,16684.41,89.149,-3.103,22.972,21.897,10.075,7.08,7.703,9.157,156.178,46.591,6.659,75.777,NA,S1,40%-60%,20%-30%
Ecuador,1.11,30.333,38.565,11525.33,105.004,-8.232,24.979,26.089,16.529,5.21,4.693,-7.831,144.181,44.582,-1.226,99.938,SA,S3,40%-60%,20%-30%
Egypt,-5.965,20.265,32.734,11215.98,58.817,-12.469,15.04,9.076,91.0,12.705,-5.973,5.834,81.264,96.809,4.347,332.484,AF,S2,Very High,0%-20%
El Salvador,-2.274,24.357,27.462,8309.37,110.034,-3.104,15.968,13.693,6.356,6.98,0.952,3.618,101.975,68.766,2.542,24.191,NA,S2,Very High,0%-20%
Estonia,1.231,38.985,39.397,32085.78,100.8,-0.412,25.119,26.35,1.316,6.758,4.822,6.497,102.187,9.997,3.155,24.066,EU,S3,5%-20%,20%-30%
Finland,-1.999,53.949,55.647,46282.74,100.389,-1.698,23.239,21.24,5.487,8.975,3.893,5.721,100.087,63.176,2.811,240.705,EU,S4,Very High,20%-30%
France,-0.486,53.049,56.686,45384.26,100.305,-3.637,22.609,22.123,64.469,10.042,1.744,2.895,101.738,97.958,1.026,2471.26,EU,S4,Very High,20%-30%
Georgia,-12.455,26.853,28.372,12959.86,117.113,-1.52,30.152,17.697,3.729,21.7,8.711,2.378,102.62,40.255,2.906,15.141,AS,S2,40%-60%,30%-40%
Germany,8.508,45.514,44.354,52175.41,100.358,1.16,19.967,28.475,82.349,4.133,2.296,4.381,101.328,68.99,2.23,3468.9,EU,S4,Very High,0%-20%
Greece,-2.373,50.253,49.941,28169.36,118.573,0.312,12.837,10.464,10.784,23.55,-0.391,1.904,99.421,183.143,-0.487,193.095,EU,S4,Very High,0%-20%
Honduras,-3.144,26.985,27.383,5394.33,292.508,-0.397,23.377,20.234,9.273,6.727,-1.127,1.668,251.104,38.174,3.893,21.718,NA,S2,20%-40%,20%-30%
Hong Kong,3.958,22.638,18.251,57771.62,93.158,4.387,21.507,25.462,7.378,3.393,0.684,0.868,91.89,0.059,2.175,320.86,AS,S1,0%-5%,20%-30%
Hungary,4.481,44.991,46.788,28523.29,111.843,-1.796,21.401,26.025,9.83,4.971,3.804,3.749,101.321,74.835,2.303,128.636,EU,S4,Very High,20%-30%
Iceland,8.097,58.987,46.437,55608.74,154.169,12.549,21.084,29.181,0.333,3.342,10.951,14.603,102.261,82.373,6.304,20.793,EU,S4,Very High,20%-30%
Indonesia,-1.819,14.338,16.824,10655.77,93.26,-2.486,33.859,32.04,258.497,5.61,-0.964,1.048,131.449,27.955,5.033,932.066,AS,S1,20%-40%,30%-40%
Ireland,-4.212,27.293,28.065,72208.8,99.8,-0.772,37.573,33.361,4.771,8.383,4.586,19.012,94.394,74.294,2.042,298.846,EU,S2,Very High,30%-40%
Islamic Republic of Iran,2.89,15.265,17.038,15498.07,100.008,-1.773,31.245,34.135,80.46,12.425,13.759,11.401,100.0,48.301,8.815,458.042,AS,S1,40%-60%,30%-40%
Israel,3.557,36.485,38.211,38293.18,98.658,-1.727,20.973,24.531,8.543,4.825,2.022,9.999,100.56,62.034,4.463,319.025,AS,S3,Very High,20%-30%
Italy,2.605,46.675,49.078,41353.91,99.942,-2.404,17.561,20.166,60.164,11.717,1.866,3.927,101.134,134.784,1.293,1876.55,EU,S4,Very High,0%-20%
Japan,3.953,33.63,37.229,40657.98,98.102,-3.6,24.836,28.788,126.96,3.108,1.618,-1.175,100.411,232.52,0.754,5003.68,AS,S3,,20%-30%
Kazakhstan,-5.923,17.008,21.512,24089.26,357.182,-4.503,27.828,21.904,17.918,4.93,-6.874,-13.093,360.167,19.677,0.9,137.289,AS,S1,5%-20%,20%-30%
"Korea, Republic of",6.531,21.134,19.488,39857.09,95.783,1.646,30.143,36.875,51.218,3.675,2.372,5.175,101.986,41.217,2.947,1499.36,AS,S1,40%-60%,30%-40%
Montenegro,-7.974,26.772,28.481,9997.56,100.0,-1.709,33.522,25.548,1.784,27.525,10.492,7.591,100.0,14.472,5.572,6.681,EU,S2,5%-20%,30%-40%
Kuwait,-4.623,54.541,53.758,50007.31,178.228,0.784,29.959,24.9,4.329,1.248,2.46,4.203,81.224,10.018,2.926,109.381,AS,S4,5%-20%,20%-30%
Latvia,1.584,35.73,36.125,27390.59,100.101,-0.395,21.176,22.765,1.969,9.642,3.943,3.566,100.864,40.38,2.368,28.076,EU,S3,40%-60%,20%-30%
Lithuania,-0.82,33.557,33.298,31987.07,100.678,0.259,19.208,18.389,2.868,7.861,4.927,4.041,101.576,39.896,2.519,43.035,EU,S2,20%-40%,0%-20%
Luxembourg,4.761,41.935,40.045,117984.76,100.038,1.89,17.932,22.693,0.576,6.263,5.309,3.752,98.892,19.614,4.978,62.2,EU,S3,5%-20%,0%-20%
Malaysia,2.393,20.255,22.858,24775.66,115.15,-2.603,25.996,28.389,31.634,3.45,3.89,1.55,101.658,55.787,4.45,301.918,AS,S1,40%-60%,20%-30%
Malta,-0.567,36.997,36.049,41341.59,100.903,0.948,23.255,22.687,0.45,4.7,7.024,5.771,101.997,54.451,3.381,11.665,EU,S3,40%-60%,20%-30%
Mauritius,-4.017,21.212,24.032,20646.51,96.456,-2.82,17.901,17.265,1.264,7.3,-7.705,3.008,130.719,64.987,3.838,12.232,AF,S1,Very High,0%-20%
Mexico,-2.238,24.587,27.352,19732.02,90.127,-2.765,23.621,21.383,122.715,3.883,3.582,2.853,113.421,56.724,2.631,1078.49,NA,S2,40%-60%,20%-30%
Moldova,-3.573,28.571,30.118,10855.52,48335.52,-1.547,21.982,18.409,2.824,4.225,7.7,7.6,1362.03,39.232,4.409,8.072,EU,S2,20%-40%,20%-30%
Mongolia,-6.273,24.382,39.677,10738.59,100.733,-15.295,22.629,16.357,3.12,10.0,33.466,12.018,102.993,87.632,1.49,11.154,AS,S3,Very High,20%-30%
Morocco,-4.05,26.054,30.834,7348.98,99.266,-4.78,32.391,28.341,34.487,9.0,7.11,15.822,111.041,64.879,1.06,103.312,AF,S2,Very High,30%-40%
Netherlands,8.067,42.814,42.802,54264.39,100.104,0.012,20.488,28.555,16.979,7.005,1.668,-1.977,100.455,61.887,2.192,783.844,EU,S4,Very High,20%-30%
New Zealand,-2.116,37.431,36.482,40365.95,141.095,0.949,23.013,20.897,4.717,5.175,2.553,3.779,113.534,33.387,3.958,185.824,OC,S3,20%-40%,20%-30%
Nicaragua,-8.483,24.916,26.751,5789.89,197.045,-1.835,31.2,22.717,6.328,4.481,4.705,4.155,213.756,30.916,4.563,13.286,NA,S1,20%-40%,30%-40%
Norway,4.453,54.755,50.699,61802.01,112.442,4.056,28.092,32.558,5.252,4.74,1.066,2.673,90.628,38.126,1.072,368.827,EU,S4,20%-40%,20%-30%
Pakistan,-1.585,13.789,17.712,5054.38,101.426,-3.923,15.936,14.35,200.19,5.958,-5.802,12.974,107.266,60.809,4.563,312.919,AS,S1,Very High,0%-20%
Panama,-7.784,20.112,22.087,29332.6,103.527,-1.975,40.499,32.715,4.037,5.494,-3.247,2.449,151.678,35.303,4.953,57.908,NA,S1,20%-40%,>40
Paraguay,3.617,19.06,19.456,12034.67,94.55,-0.397,19.806,23.423,6.855,5.998,9.797,1.377,105.805,19.39,4.268,36.09,SA,S1,5%-20%,0%-20%
Peru,-2.606,18.82,21.075,12363.64,123.863,-2.255,21.89,19.285,31.489,6.742,11.363,-3.014,130.739,24.499,3.953,194.266,SA,S1,20%-40%,20%-30%
Philippines,-0.376,18.299,18.652,7790.26,92.308,-0.353,24.619,24.242,102.53,5.475,9.623,18.173,94.208,37.343,7.149,318.627,AS,S1,20%-40%,20%-30%
Poland,-0.794,38.721,41.107,28776.05,166.54,-2.386,19.698,18.904,37.967,6.263,9.266,7.881,100.312,54.201,3.142,472.256,EU,S3,40%-60%,0%-20%
Portugal,1.172,42.902,44.837,31887.22,100.636,-1.935,15.833,16.004,10.326,11.452,4.191,5.027,100.0,131.506,2.019,206.369,EU,S4,Very High,0%-20%
Romania,-1.585,28.874,31.332,25213.72,112.465,-2.459,23.411,21.827,19.761,5.902,16.389,16.482,102.447,38.951,4.703,188.13,EU,S2,20%-40%,20%-30%
Russia,1.911,32.916,36.586,25546.35,107.042,-3.67,23.095,25.006,146.804,5.525,1.85,-4.309,100.0,14.849,0.194,1280.65,EU,S3,5%-20%,20%-30%
Saudi Arabia,-3.697,21.478,35.58,49629.15,98.426,-14.102,30.933,27.236,31.788,5.6,5.872,-16.724,93.46,13.093,1.671,644.935,AS,S3,5%-20%,30%-40%
Serbia,-2.922,40.693,41.812,16193.0,183.86,-1.119,18.078,15.156,7.058,16.854,11.317,10.532,101.55,68.772,3.339,40.693,EU,S4,Very High,0%-20%
Seychelles,-19.724,36.302,36.106,27490.2,102.985,0.196,30.01,10.286,0.094,2.684,-9.195,7.467,100.832,66.145,5.353,1.49,AF,S3,Very High,30%-40%
Singapore,17.647,18.86,15.201,91146.1,98.436,3.659,26.478,44.126,5.607,2.075,0.035,0.196,100.443,106.571,3.562,318.822,AS,S1,Very High,20%-30%
Slovak Republic,-2.742,40.095,42.678,30056.91,99.528,-2.582,22.616,19.874,5.426,9.642,5.022,4.833,99.488,52.437,2.086,89.65,EU,S4,40%-60%,20%-30%
